date,src,dest,flightno
2020-01-15,jfk,doh,qa979
2020-01-15,doh,hkt,qa840
2020-01-28,hkt,doh,qa979
2020-01-28,doh,jfk,qa703
2020-01-29,jfk,buf,dl4889
2020-02-08,buf,jfk,b62101
2020-02-09,jfk,buf,b62002
2020-03-04,buf,lga,dl5908
2020-03-05,lga,buf,dl5050
2021-05-12,buf,atl,dl1649
2021-05-12,atl,tpa,dl1123
2021-05-16,tpa,atl,dl1500
2021-05-16,atl,buf,dl807
2021-11-05,buf,jfk,b61901
2021-11-08,jfk,buf,b6102
2021-12-02,buf,jfk,ek6718
2021-12-02,jfk,dxb,ek202
2021-12-13,dxb,jfk,ek201
2021-12-14,jfk,buf,ek6715
2022-06-24,buf,jfk,b61901
2022-06-24,jfk,ist,tk12
2022-06-25,ist,fru,tk0344
2022-07-04,fru,ist,tk0345
2022-07-04,ist,ord,tk0005
2022-07-04,ord,buf,ua2222
2022-08-07,buf,dfw,aa1021
2022-08-07,dfw,ogg,aa119
2022-08-14,ogg,hnl,ha285
2022-08-15,hnl,ogg,ha336
2022-08-19,ogg,dfw,aa6
2022-08-20,dfw,buf,aa2464
2023-04-19,yyz,las,ac1705
2023-04-23,las,yyz,ac1704
2023-05-19,yyz,cph,ac828
2023-05-28,cph,yyz,ac829
2023-08-19,buf,atl,dl2050
2023-08-19,atl,fll,dl2239
2023-08-25,fll,atl,dl2284
2023-08-25,atl,buf,dl1017
2023-12-13,buf,fll,b62465
2023-12-17,fll,buf,b62466
2024-03-16,buf,phl,aa5923
2024-03-16,phl,phx,aa1956
2024-03-23,phx,buf,wn139
2024-05-17,buf,atl,dl2664
2024-05-19,atl,buf,dl2050
2024-07-19,buf,jfk,dl5223
2024-07-21,jfk,buf,dl5662
2024-10-04,buf,dfw,aa576
2024-10-04,dfw,hnd,aa8481
2024-10-07,hnd,oka,jl915
2024-10-07,oka,itm,nh766
2024-10-18,hnd,dfw,aa8478
2024-10-18,dfw,buf,aa1724
2025-01-01,buf,ord,ua3441
2025-01-01,ord,phx,ua1322
2025-01-09,phx,buf,wn207
2025-03-12,buf,phx,wn2147
2025-03-18,phx,ord,aa435
2025-03-18,ord,buf,aa4140
2025-03-29,buf,dtw,dl3892
2025-03-29,dtw,phx,dl2076
2025-05-09,phx,las,2039
2025-05-11,las,phx,3190
2025-05-17,phx,atl,dl796
2025-05-17,atl,buf,dl2334
2025-05-21,buf,atl,dl2050
2025-05-21,atl,phx,dl842
2025-07-01,phx,buf,wn3066
2025-07-05,buf,jfk,b61901
2025-07-06,jfk,buf,b6102
2025-07-09,buf,phx,wn4738
2025-09-06,phx,slc,dl1535
2025-09-06,slc,icn,dl173
2025-09-10,gmp,cju,7c131
2025-09-13,cju,gmp,7c114
2025-09-16,icn,slc,dl172
2025-09-16,slc,phx,dl1451
2025-10-03,phx,dca,aa1634
2025-10-03,dca,buf,aa4624
2025-10-07,buf,ord,aa3410
2025-10-07,ord,phx,aa2624
2026-05-15,phx,las,f93983
2026-05-16,las,phx,f91896
2026-06-29,phx,ord,ua1748
2026-06-29,ord,buf,ua1335
2026-07-10,buf,ord,ua705
2026-07-10,ord,phx,ua455
2026-08-09,phx,lhr,ba0288
2026-08-10,lhr,bll,ba0808
2026-08-21,cph,lhr,ba0813
2026-08-21,lhr,phx,ba0289
